Image-name,class_or_det,Predic
img_8d5483d8-d805-42dd-bfe6-f10d89e293f9.jpg,detection,"{'rois': [[50, 39, 262, 99], [47, 270, 264, 333], [43, 53, 261, 213]], 'class_ids': [3, 3, 3], 'scores': [0.9476168751716614, 0.5848177075386047, 0.9587241411209106], 'full_scores': [[0.015666499733924866, 0.005283326376229525, 0.0043310606852173805, 0.9476168751716614, 0.001088327611796558, 0.0002973396040033549, 0.002588363131508231, 0.013708159327507019, 0.00024753075558692217, 0.007077345624566078, 0.00209519499912858], [0.030163846909999847, 0.011545385234057903, 0.008401637896895409, 0.5848177075386047, 0.0035999431274831295, 0.0068193296901881695, 0.005816256627440453, 0.32103896141052246, 0.00790390744805336, 0.006772440392524004, 0.013120580464601517], [0.018920889124274254, 0.0035986765287816525, 0.003521502250805497, 0.9587241411209106, 0.00010087416012538597, 0.0001239553967025131, 0.00047957419883459806, 0.012187025509774685, 0.0002858505758922547, 0.0016900349874049425, 0.0003674745967146009]], 'class_names': ['BG', 'Bottle', 'Bottle cap', 'Can', 'Cigarette', 'Cup', 'Lid', 'Other', 'Plastic bag + wrapper', 'Pop tab', 'Straw']}"
img_92778386-ebdc-47d2-b34c-ad0cd72cead0.jpg,detection,"{'rois': [[132, 147, 168, 192], [188, 174, 260, 255], [132, 240, 184, 279], [240, 170, 257, 189], [122, 1, 146, 31]], 'class_ids': [4, 4, 4, 7, 7], 'scores': [0.987907350063324, 0.7658849358558655, 0.9429389238357544, 0.8408523797988892, 0.7102344036102295], 'full_scores': [[0.00875865202397108, 0.00015166723460424691, 0.0015701130032539368, 0.00012886864715255797, 0.987907350063324, 1.6397394574596547e-05, 7.473970526916673e-06, 0.001209392212331295, 7.595343777211383e-05, 1.2376445738482289e-05, 0.00016170318122021854], [0.018340714275836945, 0.10038550198078156, 0.0034507689997553825, 0.0392291285097599, 0.7658849358558655, 0.0018904742319136858, 0.00015664348029531538, 0.0524573028087616, 0.005170768592506647, 0.0003043178003281355, 0.012729342095553875], [0.03142226114869118, 0.0022178280632942915, 0.001898673246614635, 0.0013010191032662988, 0.9429389238357544, 0.00014245692000258714, 4.8199981392826885e-05, 0.01626516692340374, 0.0018018009141087532, 5.7881414250005037e-05, 0.0019058163743466139], [0.061974626034498215, 0.012344133108854294, 0.009187445044517517, 0.006336396560072899, 0.04436647519469261, 0.0031495823059231043, 0.00014862399257253855, 0.8408523797988892, 0.021010765805840492, 0.00019160016381647438, 0.0004380533646326512], [0.06315913051366806, 0.0037171533331274986, 0.012990031391382217, 0.00781288743019104, 0.022806841880083084, 0.1650196760892868, 0.0055796559900045395, 0.7102344036102295, 0.006122921127825975, 0.0007483452209271491, 0.0018089639488607645]], 'class_names': ['BG', 'Bottle', 'Bottle cap', 'Can', 'Cigarette', 'Cup', 'Lid', 'Other', 'Plastic bag + wrapper', 'Pop tab', 'Straw']}"
